,city,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,lat,long
1,"abilene, TX",31999,2012.0,ram,good,8 cylinders,diesel,99454.2400903161,clean,automatic,4wd,full-size,pickup,white,30.648367999999998,-97.862949
2,"abilene, TX",16990,2003.0,ram,good,8 cylinders,diesel,99454.2400903161,clean,manual,4wd,full-size,pickup,white,30.648515999999997,-97.862434
3,"abilene, TX",6000,2002.0,gmc,good,8 cylinders,gas,195000.0,clean,automatic,4wd,full-size,pickup,white,32.4444,-99.9924
4,"abilene, TX",37000,2012.0,chevrolet,excellent,8 cylinders,diesel,178000.0,clean,automatic,4wd,full-size,pickup,silver,32.781689,-98.94224799999999
5,"abilene, TX",3700,2003.0,ford,fair,8 cylinders,gas,269000.0,clean,automatic,4wd,full-size,pickup,silver,32.579640999999995,-99.663505
6,"abilene, TX",19950,2013.0,ford,fair,8 cylinders,gas,116792.0,clean,automatic,4wd,full-size,pickup,white,32.73603,-97.13364399999999
7,"abilene, TX",19999,2006.0,ram,fair,8 cylinders,diesel,99454.2400903161,clean,manual,4wd,full-size,pickup,white,30.647777,-97.862434
8,"abilene, TX",33950,2015.0,ford,fair,8 cylinders,diesel,77350.0,clean,automatic,4wd,full-size,pickup,white,32.754,-97.1348
9,"abilene, TX",25950,2015.0,ford,fair,8 cylinders,gas,121030.0,clean,automatic,4wd,mid-size,truck,white,32.73603,-97.13364399999999
10,"abilene, TX",49950,2018.0,ram,fair,6 cylinders,diesel,60491.0,clean,automatic,4wd,mid-size,truck,white,32.73603,-97.13364399999999
11,"abilene, TX",2300,1964.0,chevrolet,fair,8 cylinders,gas,99454.2400903161,clean,manual,fwd,mid-size,SUV,white,33.1301,-100.2344
12,"abilene, TX",9700,2010.0,cadillac,good,8 cylinders,gas,140000.0,clean,automatic,fwd,mid-size,SUV,white,32.96,-96.8385
13,"abilene, TX",2500,2001.0,chevrolet,fair,8 cylinders,gas,220000.0,clean,automatic,rwd,full-size,pickup,silver,32.279441,-99.830704
14,"abilene, TX",24575,2016.0,ford,excellent,6 cylinders,gas,149000.0,clean,automatic,rwd,full-size,SUV,white,32.373202,-99.77497199999999
15,"abilene, TX",12950,2011.0,cadillac,excellent,6 cylinders,gas,75000.0,clean,automatic,fwd,mid-size,SUV,white,32.437751,-99.728563
16,"abilene, TX",11995,2011.0,gmc,excellent,6 cylinders,gas,140000.0,clean,automatic,fwd,mid-size,SUV,white,32.437751,-99.728563
17,"abilene, TX",31999,2013.0,ford,excellent,6 cylinders,diesel,99454.2400903161,clean,automatic,4wd,full-size,pickup,red,30.64763,-97.864323
